‰‡Ú‡;»œ÷
01.01.2016;100.77
01.02.2016;100.96
01.03.2016;100.63
01.04.2016;100.46
01.05.2016;100.44
01.06.2016;100.41
01.07.2016;100.36
01.08.2016;100.54
01.09.2016;100.01
01.10.2016;100.17
01.11.2016;100.43
01.12.2016;100.44
01.01.2017;100.40
01.02.2017;100.62
01.03.2017;100.22
01.04.2017;100.13
01.05.2017;100.33
01.06.2017;100.37
01.07.2017;100.61
01.08.2017;100.07
01.09.2017;99.46
01.10.2017;99.85
01.11.2017;100.20
01.12.2017;100.22
01.01.2018;100.42
01.02.2018;100.31
01.03.2018;100.21
01.04.2018;100.29
01.05.2018;100.38
01.06.2018;100.38
01.07.2018;100.49
01.08.2018;100.27
01.09.2018;100.01
01.10.2018;100.16
01.11.2018;100.35
01.12.2018;100.50
01.01.2019;100.84
